head	display_name	rows	in_shopping	majority_category	concentration	poi_type	store_kind	already_in_dictionary
lefties	Lefties	32	0	clothing_store	1.0	store	clothing	True
viva	Viva	31	0	home_goods_store	1.0	store	home	False
balvera perfumarias	Balvera Perfumarias	31	2	perfume_store	1.0	store	beauty	False
tedi comercio	TEDi Comércio	29	0	discount_store	1.0	store	any	False
salsa	Salsa	29	0	clothing_store	0.966	store	clothing	False
mr blue	Mr. Blue	28	0	mens_clothing_store	0.929	store	mens_clothing	False
tiendanimal	Tiendanimal	28	0	pet_store	1.0	store	pet	True
oysho	Oysho	26	0	lingerie_store	0.654	store	lingerie	False
doggyrade	DoggyRade	26	0	pet_store	1.0	store	pet	False
norte moda	Norte Moda	26	0	clothing_store	0.885	store	clothing	False
ptn store	Ptn Store	26	1	clothing_store	0.84	store	clothing	False
staples	Staples	26	0	office_equipment	1.0	store	office_equipment	True
celeiro	Celeiro	26	0	health_food_store	1.0	store	health_food	False
douglas	Douglas	25	0	perfume_store	1.0	store	beauty	True
mayoral loja	Mayoral -	25	0	childrens_clothing_store	1.0	store	childrens_clothing	False
vodafone	Vodafone	24	1	mobile_phone_store	0.826	store	phone	True
calcado guimaraes	Calçado Guimarães	24	2	shoe_store	0.864	store	shoes	True
pepco	Pepco	24	0	clothing_store	1.0	store	clothing	False
livraria bertrand	Livraria Bertrand	23	0	bookstore	1.0	store	books	False
la casa	La Casa	23	0	mobile_phone_store	0.957	store	phone	False
homa	hôma	22	1	home_decor	0.762	store	home	True
seaside	Seaside	22	0	shoe_store	0.955	store	shoes	True
pepe jeans	Pepe Jeans	22	0	clothing_store	0.909	store	clothing	False
auto pecas	Auto Peças	22	2	auto_parts_and_supply_store	1.0	store	auto_parts_and_supply	False
widex centro	Widex Centro	22	0	hearing_aid_provider	1.0	store	hearing_aid_provider	False
boss store	BOSS Store	22	0	clothing_store	0.636	store	clothing	False
samsonite	Samsonite	22	2	luggage_store	0.8	store	luggage	False
sephora	Sephora	22	2	cosmetic_and_beauty_supplies	0.95	store	beauty	True
humana	HUMANA	22	0	thrift_store	0.864	store	thrift	False
sports direct	Sports Direct	22	1	sporting_goods	0.905	store	sports	False
fnac	Fnac	21	0	electronics	0.857	store	electronics	True
bimba y	BIMBA Y	21	0	clothing_store	0.667	store	clothing	False
tous	Tous	21	2	jewelry_store	0.895	store	jewelry	True
sacoor brothers	Sacoor Brothers	20	0	clothing_store	0.95	store	clothing	True
wurth portugal	Wurth Portugal	20	0	building_supply_store	0.95	store	hardware	False
garrafeira soares	Garrafeira Soares	20	1	liquor_store	1.0	store	wine_and_spirits	False
triumph	Triumph	20	0	lingerie_store	0.8	store	lingerie	False
tous jewelry	Tous Jewelry	19	0	jewelry_store	1.0	store	jewelry	True
decenio	Decenio	19	0	clothing_store	0.895	store	clothing	False
livraria e	Livraria e	19	0	bookstore	0.895	store	books	False
kid to	Kid to	18	2	childrens_clothing_store	0.75	store	childrens_clothing	False
toys r	Toys R	18	0	toy_store	0.833	store	toys	False
stone by	Stone by	18	0	jewelry_store	1.0	store	jewelry	False
primark	Primark	18	0	clothing_store	0.778	store	clothing	True
action	Action	18	0	discount_store	0.833	store	any	False
omb grupo	OMB Grupo	18	7	eyewear_and_optician	0.727	store	eyewear_and_optician	False
iuman intimissimi	IUMAN Intimissimi	17	0	clothing_store	0.941	store	clothing	False
mac cosmetics	MAC Cosmetics	17	0	cosmetic_and_beauty_supplies	1.0	store	beauty	False
manuel alves	Manuel Alves	17	0	shoe_store	0.882	store	shoes	False
foot locker	Foot Locker	16	0	shoe_store	1.0	store	shoes	True
ana sousa	ANA SOUSA	16	0	womens_clothing_store	1.0	store	womens_clothing	False
lacoste	Lacoste	16	0	clothing_store	0.875	store	clothing	False
optic 1	OPTIC 1	16	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
optica medica	Óptica Médica	16	1	eyewear_and_optician	1.0	store	eyewear_and_optician	False
valores	Valores	15	0	jewelry_store	1.0	store	jewelry	False
lanidor kids	Lanidor Kids	15	1	childrens_clothing_store	0.786	store	childrens_clothing	False
worten mobile	Worten Mobile	14	1	mobile_phone_store	0.692	store	phone	True
urban obras	Urban Obras	14	0	home_improvement_store	1.0	store	hardware	False
misako	MISAKO	14	0	handbag_stores	0.857	store	handbag	False
perfumes e	Perfumes e	14	1	cosmetic_and_beauty_supplies	0.692	store	beauty	False
ikea	IKEA	13	8	furniture_store	0.8	store	furniture	True
create business	Create Business	13	0	auto_parts_and_supply_store	1.0	store	auto_parts_and_supply	False
garrafeira do	Garrafeira do	13	0	liquor_store	1.0	store	wine_and_spirits	False
salsa jeans	Salsa Jeans	13	0	clothing_store	1.0	store	clothing	False
desigual	Desigual	13	0	clothing_store	0.615	store	clothing	False
snipes	SNIPES	13	1	shoe_store	1.0	store	shoes	False
livraria papelaria	Livraria Papelaria	12	0	bookstore	0.667	store	books	False
ourivesaria e	Ourivesaria e	12	1	jewelry_store	0.909	store	jewelry	False
my auchan	My Auchan	12	3	discount_store	0.778	store	any	False
deichmann	Deichmann	12	0	shoe_store	1.0	store	shoes	False
quinta do	Quinta do	12	3	liquor_store	0.667	store	wine_and_spirits	False
optivisao	Optivisão	12	0	eyewear_and_optician	1.0	store	eyewear_and_optician	True
alberto oculista	Alberto Oculista	11	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
morgan	Morgan	11	0	clothing_store	0.636	store	clothing	False
optica da	Óptica da	11	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
l occitane	L'Occitane en	11	8	perfume_store	1.0	store	beauty	False
zippy kidstore	Zippy Kidstore	11	2	childrens_clothing_store	0.889	store	childrens_clothing	False
bike zone	Bike Zone	11	1	bicycle_shop	1.0	store	bicycle	True
modalfa	Modalfa	11	0	clothing_store	0.727	store	clothing	False
nicolau rosa	Nicolau &	11	0	building_supply_store	1.0	store	hardware	False
triumph lingerie	Triumph Lingerie	11	0	lingerie_store	0.909	store	lingerie	False
zara home	Zara Home	11	0	furniture_store	1.0	store	furniture	True
confort electrodomesticos	Confort Electrodomésticos	11	2	appliance_store	0.889	store	electronics	False
adega cooperativa	Adega Cooperativa	11	0	liquor_store	1.0	store	wine_and_spirits	False
havaianas	Havaianas	10	1	shoe_store	1.0	store	shoes	False
ergovisao	Ergovisão	10	1	eyewear_and_optician	1.0	store	eyewear_and_optician	False
scalpers	Scalpers	10	0	clothing_store	0.8	store	clothing	False
geox	Geox	10	0	shoe_store	1.0	store	shoes	False
gms store	GMS Store	10	0	electronics	0.7	store	electronics	True
quebramar	Quebramar	10	0	clothing_store	0.9	store	clothing	False
new yorker	New Yorker	10	0	clothing_store	0.6	store	clothing	False
natura selection	Natura Selection,	10	0	clothing_store	0.6	store	clothing	False
jysk portugal	JYSK Portugal	10	0	furniture_store	1.0	store	furniture	True
kiko store	Kiko Store	10	0	perfume_store	1.0	store	beauty	False
perfumaria equivalenza	Perfumaria Equivalenza,	10	0	perfume_store	0.8	store	beauty	False
mike davis	Mike Davis	10	2	clothing_store	0.875	store	clothing	False
ourivesaria silva	Ourivesaria Silva	10	0	jewelry_store	1.0	store	jewelry	False
tabacaria da	Tabacaria da	9	0	tobacco_shop	1.0	store	tobacco	False
cortefiel	Cortefiel	9	0	clothing_store	0.778	store	clothing	True
optica do	Óptica Do	9	2	eyewear_and_optician	1.0	store	eyewear_and_optician	False
garrafeira da	Garrafeira da	9	2	liquor_store	1.0	store	wine_and_spirits	False
switch technology	Switch Technology	9	1	computer_store	0.625	store	electronics	False
dona erago	Dona Erago	9	0	lingerie_store	0.889	store	lingerie	False
timberland	Timberland	9	0	shoe_store	0.778	store	shoes	False
decathlon	Decathlon	9	0	sporting_goods	1.0	store	sports	True
antarte	Antarte	9	0	furniture_store	1.0	store	furniture	True
furla	Furla	9	0	fashion_accessories_store	0.778	store	fashion_accessories	False
blukids	Blukids	9	0	clothing_store	0.778	store	clothing	False
spot	SPOT	9	0	shoe_store	1.0	store	shoes	False
purificacion garcia	Purificacion Garcia	9	0	clothing_store	0.889	store	clothing	False
chateau d	Chateau d'Ax	9	7	furniture_store	1.0	store	furniture	False
materiais de	Materiais de	9	0	building_supply_store	1.0	store	hardware	False
joao vilas	João Vilas	9	0	mens_clothing_store	0.889	store	mens_clothing	False
samsic facility	SAMSIC FACILITY	8	0	home_goods_store	0.875	store	home	False
prof	Prof	8	0	shoe_store	1.0	store	shoes	False
swatch	Swatch	8	0	jewelry_store	0.625	store	jewelry	False
prenatal	Prénatal	8	1	childrens_clothing_store	0.857	store	childrens_clothing	False
artes e	Artes e	8	2	arts_and_crafts	0.667	store	arts_and_crafts	False
swarovski boutique	Swarovski Boutique	8	0	jewelry_store	1.0	store	jewelry	True
opticas grandoptical	Ópticas GrandOptical	8	3	photography_store_and_services	0.6	store	photography_store_and_services	False
adolfo dominguez	Adolfo Dominguez	8	0	clothing_store	0.875	store	clothing	False
optica de	Óptica de	8	1	eyewear_and_optician	0.857	store	eyewear_and_optician	False
perfumaria barreiros	Perfumaria Barreiros	8	5	cosmetic_and_beauty_supplies	0.667	store	beauty	False
drogaria do	Drogaria do	8	3	hardware_store	0.6	store	hardware	False
tabacaria do	Tabacaria do	8	0	tobacco_shop	0.875	store	tobacco	False
moveis e	Móveis e	8	0	furniture_store	1.0	store	furniture	False
michael kors	Michael Kors	8	0	fashion_accessories_store	0.625	store	fashion_accessories	False
optic one	OPTIC One	8	1	eyewear_and_optician	1.0	store	eyewear_and_optician	False
opticenter	Opticenter	8	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
consultorio veterinario	Consultório Veterinário	8	0	pet_store	0.875	store	pet	False
quinta de	Quinta de	8	2	liquor_store	0.833	store	wine_and_spirits	False
people s	People's Phone	7	0	mobile_phone_store	0.714	store	phone	False
david rosas	David Rosas	7	0	jewelry_store	1.0	store	jewelry	False
bang olufsen	Bang &	7	0	electronics	1.0	store	electronics	False
maria bonita	Maria Bonita	7	0	clothing_store	0.714	store	clothing	False
ponto das	Ponto das	7	1	arts_and_crafts	0.667	store	arts_and_crafts	False
lidl lisboa	Lidl Lisboa	7	0	discount_store	1.0	store	any	False
mediamarkt portugal	MediaMarkt Portugal	7	0	electronics	1.0	store	electronics	True
papelaria a	Papelaria A	7	0	office_equipment	0.714	store	office_equipment	False
imaginarium	Imaginarium	7	0	toy_store	1.0	store	toys	True
laskasas	Laskasas	7	0	furniture_store	1.0	store	furniture	False
sportino	Sportino	7	0	shoe_store	0.857	store	shoes	False
oculista de	Oculista de	7	1	eyewear_and_optician	1.0	store	eyewear_and_optician	False
darty	Darty	7	0	electronics	0.857	store	electronics	False
optica central	Óptica Central	7	1	eyewear_and_optician	1.0	store	eyewear_and_optician	False
bijou brigitte	Bijou Brigitte	7	0	jewelry_store	0.857	store	jewelry	False
superdecor	Superdecor	7	0	furniture_store	1.0	store	furniture	False
lion of	Lion of	7	0	clothing_store	0.714	store	clothing	False
colchoes companhia	Colchões &	7	0	mattress_store	0.714	store	mattress	False
papelaria da	Papelaria da	7	1	office_equipment	0.833	store	office_equipment	False
ttrw store	TTRW Store	7	0	mobile_phone_store	1.0	store	phone	False
new look	New Look	7	2	clothing_store	0.6	store	clothing	False
vodafone people	Vodafone -	7	0	mobile_phone_store	1.0	store	phone	True
bstrong	BStrong	7	0	shoe_store	1.0	store	shoes	False
wells	Wells	7	1	drugstore	0.667	store	drugstore	False
grupotico	Grupótico	7	2	photography_store_and_services	0.6	store	photography_store_and_services	False
tabacaria e	Tabacaria e	6	0	tobacco_shop	0.833	store	tobacco	False
cacifo locky	Cacifo Locky	6	4	discount_store	1.0	store	any	False
sofrapa loja	Sofrapa |	6	0	auto_parts_and_supply_store	1.0	store	auto_parts_and_supply	False
dunas store	Dunas Store	6	0	clothing_store	0.667	store	clothing	False
tintas cin	Tintas CIN	6	1	hardware_store	0.8	store	hardware	False
elegance	Élégance	6	1	clothing_store	0.6	store	clothing	False
quatro estacoes	Quatro Estações	6	0	clothing_store	0.833	store	clothing	False
eurekakids	Eurekakids	6	0	toy_store	1.0	store	toys	False
pet shop	Pet Shop	6	0	pet_store	1.0	store	pet	False
moveis d	Moveis d'Alice	6	0	furniture_store	1.0	store	furniture	False
sr andarilho	Sr. Andarilho	6	3	orthopedic_shoe_store	1.0	store	orthopedic_shoe	False
torres joalheiros	Torres Joalheiros	6	0	jewelry_store	0.833	store	jewelry	False
auto acessorios	Auto Acessórios	6	0	auto_parts_and_supply_store	1.0	store	auto_parts_and_supply	False
5asec	5àsec	6	0	appliance_store	1.0	store	electronics	False
vans	Vans	6	0	shoe_store	0.667	store	shoes	False
aldo	Aldo	6	0	shoe_store	1.0	store	shoes	True
antiguidades e	Antiguidades e	6	1	antique_store	0.8	store	antique	False
cash converters	Cash Converters	6	1	thrift_store	1.0	store	thrift	False
clarks	Clarks	6	0	shoe_store	1.0	store	shoes	False
nacional optica	Nacional Optica	6	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
tabacaria papelaria	Tabacaria Papelaria	6	0	tobacco_shop	1.0	store	tobacco	False
miminhos da	Miminhos da	6	3	arts_and_crafts	1.0	store	arts_and_crafts	False
code	CODE	6	0	clothing_store	0.667	store	clothing	False
centroxogo	Centroxogo	6	0	toy_store	1.0	store	toys	True
ouro caixa	Ouro Caixa	6	0	jewelry_store	1.0	store	jewelry	False
oculista central	Oculista Central	6	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
welder	Welder	6	0	jewelry_store	1.0	store	jewelry	False
centrauto	Centrauto	6	0	auto_parts_and_supply_store	1.0	store	auto_parts_and_supply	False
asics	ASICS	6	0	sporting_goods	0.667	store	sports	False
nowo	Nowo	6	0	electronics	1.0	store	electronics	False
courir	Courir	6	0	shoe_store	1.0	store	shoes	False
note pt	note.pt	6	1	furniture_store	0.8	store	furniture	True
american vintage	American Vintage	6	0	clothing_store	1.0	store	clothing	False
livraria almedina	Livraria Almedina	6	0	bookstore	1.0	store	books	False
montblanc	Montblanc	6	0	fashion_accessories_store	0.667	store	fashion_accessories	False
moveis luis	Móveis Luis	6	0	furniture_store	1.0	store	furniture	False
sitio do	Sitio do	6	0	furniture_store	0.667	store	furniture	False
nike	Nike	6	0	clothing_store	0.667	store	clothing	True
imperio da	Império da	6	1	clothing_store	0.6	store	clothing	False
lpoint	Lpoint	6	0	shoe_store	1.0	store	shoes	False
maria papoila	Maria Papoila	6	1	clothing_store	0.6	store	clothing	False
optica sao	Óptica São	6	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
lanidor outlet	Lanidor Outlet	6	0	womens_clothing_store	0.667	store	womens_clothing	False
lidl sintra	Lidl Sintra	6	0	discount_store	1.0	store	any	False
the north	The North	6	0	clothing_store	1.0	store	clothing	False
bluebird	Bluebird	6	0	jewelry_store	1.0	store	jewelry	False
ativo kids	Ativo Kids	6	0	childrens_clothing_store	1.0	store	childrens_clothing	False
livraria alfarrabista	Livraria Alfarrabista	6	0	bookstore	0.667	store	books	False
optiframa	Optiframa	6	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
terceirafarma husqvarna	TerceiraFarma Husqvarna	5	0	lawn_mower_store	1.0	store	lawn_mower	False
alfilux iluminacao	Alfilux Iluminação	5	0	lighting_store	0.8	store	lighting	False
xiaomi store	Xiaomi Store	5	0	wholesale_store	0.6	store	any	False
made in	Made in	5	2	shoe_store	0.667	store	shoes	False
aldi	ALDI	5	2	discount_store	0.667	store	any	False
tibi pets	Tibi -	5	0	pet_store	1.0	store	pet	False
otica lucia	Ótica Lúcia	5	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
mercearia da	Mercearia da	5	2	health_food_store	1.0	store	health_food	False
women secret	Women'secret	5	0	lingerie_store	0.6	store	lingerie	True
ourivesaria ramos	Ourivesaria Ramos	5	0	jewelry_store	1.0	store	jewelry	False
quiksilver	Quiksilver	5	0	clothing_store	0.6	store	clothing	False
paraiso joias	Paraíso Jóias	5	0	fashion_accessories_store	0.6	store	fashion_accessories	False
celeiro dieta	Celeiro Dieta	5	0	health_food_store	1.0	store	health_food	False
adidas store	adidas Store	5	0	sporting_goods	0.6	store	sports	True
moviflor	Moviflor	5	0	furniture_store	1.0	store	furniture	True
ecco porto	ECCO Porto	5	0	shoe_store	1.0	store	shoes	False
divani divani	Divani &	5	0	furniture_store	1.0	store	furniture	False
interforma	Interforma	5	0	furniture_store	1.0	store	furniture	False
falconeri	Falconeri	5	0	clothing_store	1.0	store	clothing	False
note lisboa	note! Lisboa	5	0	cards_and_stationery_store	0.8	store	cards_and_stationery	True
lidl porto	Lidl Porto	5	0	discount_store	1.0	store	any	False
primor	Primor	5	0	perfume_store	1.0	store	beauty	True
ourivesaria a	Ourivesaria A	5	0	jewelry_store	1.0	store	jewelry	False
jose joao	José João	5	2	clothing_store	0.667	store	clothing	False
valores compra	Valores Compra	5	0	jewelry_store	1.0	store	jewelry	False
papelaria nova	Papelaria Nova	5	0	office_equipment	0.8	store	office_equipment	False
suits inc	Suits Inc.	5	0	mens_clothing_store	1.0	store	mens_clothing	False
papelaria escolar	Papelaria Escolar	5	0	office_equipment	0.8	store	office_equipment	False
maria s	Maria's	5	0	clothing_store	0.8	store	clothing	False
ourivesaria santos	Ourivesaria Santos	5	0	jewelry_store	1.0	store	jewelry	False
ourivesaria carvalho	Ourivesaria Carvalho	5	0	jewelry_store	1.0	store	jewelry	False
zadig voltaire	Zadig&Voltaire	5	0	womens_clothing_store	0.6	store	womens_clothing	False
elena miro	Elena Mirò	5	0	womens_clothing_store	1.0	store	womens_clothing	False
otica do	Ótica do	5	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
calvin klein	Calvin Klein	5	0	clothing_store	0.8	store	clothing	False
intimissimi uomo	Intimissimi Uomo	5	1	clothing_store	0.75	store	clothing	True
institutoptico de	Institutoptico de	5	2	eyewear_and_optician	1.0	store	eyewear_and_optician	False
tommy hilfiger	Tommy Hilfiger	5	0	mens_clothing_store	0.6	store	mens_clothing	False
rituals cosmetics	Rituals Cosmetics	5	0	cosmetic_and_beauty_supplies	1.0	store	beauty	True
xtreme	Xtreme	5	0	shoe_store	0.6	store	shoes	False
artes da	Artes da	5	0	arts_and_crafts	0.6	store	arts_and_crafts	False
tien 21	Tien 21	5	0	electronics	0.6	store	electronics	False
mundo magico	Mundo Mágico	5	0	childrens_clothing_store	0.6	store	childrens_clothing	False
perfume arte	Perfume Arte	5	1	cosmetic_and_beauty_supplies	1.0	store	beauty	False
sociedade agricola	Sociedade Agrícola	5	1	liquor_store	1.0	store	wine_and_spirits	False
my closet	My Closet	5	0	clothing_store	0.6	store	clothing	False
forte store	Forte Store	5	0	clothing_store	1.0	store	clothing	False
intima lingerie	Intima Lingerie	5	0	clothing_store	0.6	store	clothing	False
closet da	Closet da	5	0	womens_clothing_store	0.6	store	womens_clothing	False
pink store	Pink Store	5	0	clothing_store	0.8	store	clothing	False
stilcoup	Stilcoup	5	0	cosmetic_and_beauty_supplies	0.8	store	beauty	False
ourivesaria confianca	Ourivesaria Confiança	5	0	jewelry_store	1.0	store	jewelry	False
pereirinha ourivesarias	Pereirinha Ourivesarias	5	0	jewelry_store	1.0	store	jewelry	False
smk denim	Smk Denim&Co.	5	0	mens_clothing_store	1.0	store	mens_clothing	False
ervanario portuense	Ervanário Portuense	5	0	health_food_store	1.0	store	health_food	False
moveis a	Móveis A.	5	0	furniture_store	1.0	store	furniture	False
sapataria avenida	Sapataria Avenida	5	1	shoe_store	1.0	store	shoes	False
portfolio	Portfolio	4	1	gift_shop	1.0	store	gift	False
conforama	Conforama	4	0	furniture_store	1.0	store	furniture	True
decathlon connect	Decathlon Connect	4	2	sports_wear	1.0	store	sports	True
queijaria da	Queijaria da	4	0	cheese_shop	1.0	store	cheese	False
padel nuestro	Padel Nuestro	4	0	sporting_goods	0.75	store	sports	False
ourivesaria relojoaria	Ourivesaria Relojoaria	4	0	jewelry_store	1.0	store	jewelry	False
be a	Be a	4	1	clothing_store	1.0	store	clothing	False
kiko	KIKO	4	1	cosmetic_and_beauty_supplies	0.667	store	beauty	False
cannabis store	Cannabis Store	4	2	health_food_store	1.0	store	health_food	False
tio papel	Tio Papel	4	0	bookstore	0.75	store	books	False
ourivesaria martins	Ourivesaria Martins	4	0	jewelry_store	1.0	store	jewelry	False
ponto de	Ponto de	4	1	clothing_store	0.667	store	clothing	False
gato preto	Gato Preto	4	0	home_goods_store	0.75	store	home	True
otica da	Ótica da	4	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
garrafeira nacional	Garrafeira Nacional	4	0	liquor_store	1.0	store	wine_and_spirits	True
max mara	Max Mara	4	0	womens_clothing_store	0.75	store	womens_clothing	False
hastens	Hästens	4	0	mattress_store	0.75	store	mattress	False
ourivesaria gomes	Ourivesaria Gomes	4	0	jewelry_store	1.0	store	jewelry	False
farmacia da	Farmácia da	4	1	drugstore	1.0	store	drugstore	False
ourivesaria miranda	Ourivesaria Miranda	4	0	jewelry_store	1.0	store	jewelry	False
box jumbo	Box Jumbo,	4	0	furniture_store	1.0	store	furniture	False
western union	Western Union	4	1	jewelry_store	0.667	store	jewelry	False
paco martinez	Paco Martinez	4	1	fashion_accessories_store	0.667	store	fashion_accessories	False
oculista do	Oculista do	4	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
58 surf	58 Surf	4	0	surf_shop	1.0	store	sports	False
sapataria moderna	Sapataria Moderna	4	0	shoe_store	1.0	store	shoes	False
area	Area	4	0	furniture_store	1.0	store	furniture	True
lisboa sc	LISBOA SC	4	0	clothing_store	1.0	store	clothing	False
maje	Maje	4	0	womens_clothing_store	1.0	store	womens_clothing	False
papelaria fernandes	Papelaria Fernandes	4	0	office_equipment	1.0	store	office_equipment	True
oticas ocr	Óticas OCR	4	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
natur house	Natur House	4	0	drugstore	0.75	store	drugstore	False
humana vintage	HUMANA Vintage	4	0	thrift_store	1.0	store	thrift	False
instanta	Instanta	4	0	photography_store_and_services	1.0	store	photography_store_and_services	False
queijaria do	Queijaria do	4	1	cheese_shop	0.667	store	cheese	False
sapataria pe	Sapataria Pé	4	0	shoe_store	1.0	store	shoes	False
opticalia optica	Opticalia Óptica	4	0	sunglasses_store	1.0	store	sunglasses	True
silverland	Silverland	4	0	jewelry_store	1.0	store	jewelry	False
recheio cash	Recheio Cash	4	0	wholesale_store	1.0	store	any	False
sergent major	Sergent Major	4	0	childrens_clothing_store	1.0	store	childrens_clothing	False
horto do	Horto do	4	0	nursery_and_gardening	1.0	store	nursery_and_gardening	False
chaves e	Chaves e	4	1	shoe_store	0.667	store	shoes	False
perfumaria e	Perfumaria e	4	0	cosmetic_and_beauty_supplies	0.75	store	beauty	False
ourivesaria fernandes	Ourivesaria Fernandes	4	0	jewelry_store	1.0	store	jewelry	False
oro vivo	Oro Vivo	4	0	jewelry_store	0.75	store	jewelry	False
b perfumes	B& Perfumes	4	0	clothing_store	0.75	store	clothing	False
d coracao	D'Coração	4	1	clothing_store	0.667	store	clothing	False
garden center	Garden Center	4	0	nursery_and_gardening	1.0	store	nursery_and_gardening	False
prolar	Prolar	4	2	home_goods_store	1.0	store	home	False
ornimundo	Ornimundo	4	0	pet_store	1.0	store	pet	True
vinhos do	Vinhos do	4	1	liquor_store	1.0	store	wine_and_spirits	False
diesel	Diesel	4	0	clothing_store	1.0	store	clothing	False
new balance	New Balance	4	0	shoe_store	0.75	store	shoes	True
swarovski	Swarovski	4	0	jewelry_store	1.0	store	jewelry	True
t shirts	T-Shirts and	4	1	womens_clothing_store	0.667	store	womens_clothing	False
fred perry	Fred Perry	4	0	clothing_store	0.75	store	clothing	False
livraria da	Livraria da	4	0	bookstore	1.0	store	books	False
cosentino	Cosentino	4	0	building_supply_store	1.0	store	hardware	False
the phone	The Phone	4	1	electronics	0.667	store	electronics	False
tintas e	Tintas e	4	1	hardware_store	0.667	store	hardware	False
moveis usados	Móveis Usados	4	0	furniture_store	1.0	store	furniture	False
hackett	Hackett	4	0	mens_clothing_store	1.0	store	mens_clothing	False
victoria s	Victoria's Secret	4	0	lingerie_store	0.75	store	lingerie	False
doctor mobile	Doctor mobile	4	0	mobile_phone_store	1.0	store	phone	False
boss outlet	BOSS Outlet	4	0	clothing_store	0.75	store	clothing	False
puma outlet	PUMA Outlet	4	0	sporting_goods	0.75	store	sports	False
kiwoko c	KIWOKO C.C.	4	0	pet_store	1.0	store	pet	True
optica portuguesa	Optica Portuguesa	4	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
oculista das	Oculista Das	4	0	eyewear_and_optician	1.0	store	eyewear_and_optician	False
prink	Prink	4	1	office_equipment	0.667	store	office_equipment	False
esse parfum	Esse Parfum	4	1	cosmetic_and_beauty_supplies	1.0	store	beauty	False
opticalia premium	Opticalia Premium	4	1	eyewear_and_optician	1.0	store	eyewear_and_optician	True
nova imagem	Nova Imagem	4	0	clothing_store	0.75	store	clothing	False
moveis machado	Móveis Machado	4	0	furniture_store	1.0	store	furniture	False
beauty stores	Beauty Stores,	4	0	perfume_store	0.75	store	beauty	False
zolf store	ZOLF STORE	4	0	clothing_store	1.0	store	clothing	False
